ancien_nom,nouveau_nom,url
"DALL·E 2024-11-24 22.46.01 - A high-quality, ultra-realistic depiction of the launch of a cutting-edge space telescope. The scene shows the telescope ascending into orbit with a v.webp",dalle_2024_11_24_224601_01df6ebe.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224601_01df6ebe.webp
DALL·E 2024-11-24 22.46.04 - An ultra-realistic depiction of a deep-sea explorer piloting a submersible to explore the ocean's depths. The scene shows the submersible illuminated .webp,dalle_2024_11_24_224604_43608b09.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224604_43608b09.webp
DALL·E 2024-11-24 22.46.11 - An ultra-realistic depiction of a spacecraft landing on a comet during an exploration mission. The scene features a robotic lander on the rocky surfac.webp,dalle_2024_11_24_224611_5b67f0b6.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224611_5b67f0b6.webp
"DALL·E 2024-11-24 22.46.19 - An ultra-realistic depiction of a spacecraft performing the first flyby of Pluto. The scene features a spacecraft with its instruments extended, flyin.webp",dalle_2024_11_24_224619_78f0e347.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224619_78f0e347.webp
"DALL·E 2024-11-24 22.46.20 - An ultra-realistic depiction of the first successful Mars exploration mission. The scene shows a robotic lander on the Martian surface with a dusty, r.webp",dalle_2024_11_24_224620_b7271d51.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224620_b7271d51.webp
"DALL·E 2024-11-24 22.46.26 - An ultra-realistic depiction of the first moon landing. The scene shows an astronaut stepping onto the lunar surface, with the Earth visible in the ba.webp",dalle_2024_11_24_224626_015f35a1.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224626_015f35a1.webp
"DALL·E 2024-11-24 22.46.29 - A high-quality, oil-painting-style illustration of the first human orbiting Earth in the early 1960s. The scene shows a spacecraft against the backdro.webp",dalle_2024_11_24_224629_9fa05aba.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224629_9fa05aba.webp
DALL·E 2024-11-24 22.46.36 - An ultra-realistic depiction of the first nonstop solo transatlantic flight. The scene features a single-engine monoplane flying high above the Atlant.webp,dalle_2024_11_24_224636_5664cfbe.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224636_5664cfbe.webp
DALL·E 2024-11-24 22.46.38 - An ultra-realistic depiction of a 20th-century explorer embarking on an expedition to the South Pole. The scene shows a team with sled dogs navigating.webp,dalle_2024_11_24_224638_3003ab16.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224638_3003ab16.webp
DALL·E 2024-11-24 22.46.48 - An ultra-realistic depiction of a deep-sea exploration in the late 19th century. The scene shows a wooden ship above water and a small submersible des.webp,dalle_2024_11_24_224648_46bfa11f.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224648_46bfa11f.webp
"DALL·E 2024-11-24 22.46.55 - A high-quality, ultra-realistic depiction of an early 20th-century explorer reaching the North Pole. The scene features a vast icy landscape with froz.webp",dalle_2024_11_24_224655_3ea7582a.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224655_3ea7582a.webp
"DALL·E 2024-11-24 22.46.57 - A high-quality, ultra-realistic depiction of an Arctic explorer crossing the Greenland ice sheet in the late 19th century. The scene features a lone f.webp",dalle_2024_11_24_224657_71953375.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224657_71953375.webp
"DALL·E 2024-11-24 22.47.03 - A high-quality, ultra-realistic depiction of 19th-century explorers discovering the sources of the Nile River. The scene shows a group of explorers wi.webp",dalle_2024_11_24_224703_37496743.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224703_37496743.webp
"DALL·E 2024-11-24 22.47.10 - A high-quality, ultra-realistic depiction of 19th-century explorers crossing Africa for the first time. The scene includes a group of explorers with h.webp",dalle_2024_11_24_224710_c8507a7a.webp,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dalle_2024_11_24_224710_c8507a7a.webp
